weight,max_rel_diff,final_truth,final_nonsense
0.0,0.0,0.07276883200644853,0.07276883200644853
0.0005,0.00833191862010161,0.07083282274419106,0.07026361861522655
0.0009008241153272058,0.013328216386990764,0.06933650235670184,0.06852284961824746
0.0016229681735100848,0.01993151165609002,0.06678827908241622,0.06545708771939485
0.0029240177382128638,0.030623457225871474,0.06250801611006289,0.060594347827610015
0.005268051384453322,0.03446701878962262,0.055789247312211084,0.05435235842678067
0.009491175455796853,0.02940734142851268,0.04585421566776533,0.04480771237538588
0.017099759466766964,0.01420408071125452,0.03314636876946009,0.03337897976538374
0.030807751387916714,0.1370549852259204,0.019582113117330192,0.022265939341318184
0.05550473077848112,0.31902489139130547,0.007384814490952689,0.00974075413187381
0.1,0.5003757107457173,0.0016392180164756984,0.0023336080681008453
