weight,observed_final,predicted_final,absolute_ratio,observed_rel,predicted_rel,relative_ratio,max_log10_gap
0.0,0.07276883200644853,1.0,0.07276883200644853,1.0,1.0,1.0,1.1380545957701131
0.0005,0.07083282274419106,0.9801981831912061,0.07226377681458504,1.0273320924855593,1.0202018501445551,1.0069890505883654,1.1410793440845
0.0009008241153272058,0.06933650235670184,0.9646069293915442,0.07188057668260583,1.0495024919498976,1.036691702630398,1.0123573761485647,1.1433884472966633
0.0016229681735100848,0.06678827908241622,0.9371386873700955,0.07126829783310412,1.0895449472002767,1.0670779186443715,1.0210547216499875,1.1471036137373256
0.0029240177382128638,0.06250801611006289,0.8896049309452798,0.07026491640917827,1.164152000574112,1.1240944887045716,1.0356353600805421,1.1532614660629705
0.005268051384453322,0.055789247312211084,0.8099541971765541,0.06887950887431493,1.3043522813494022,1.2346377159176811,1.056465604875762,1.1619099581562506
0.009491175455796853,0.04585421566776533,0.6839795242364064,0.06704033387396634,1.586960565058878,1.4620320705015233,1.08544853227091,1.1736638315009873
0.017099759466766964,0.03314636876946009,0.5043040849263883,0.06572694879974719,2.1953787008335945,1.9829305966180442,1.1071384467907692,1.182256528227621
0.030807751387916714,0.019582113117330192,0.29106397275403995,0.06727769476945131,3.716086796682225,3.435670827062605,1.0816189861411627,1.172128897799599
0.05550473077848112,0.007384814490952689,0.10791907088309674,0.06842918893318016,9.853846984998654,9.266202829741273,1.063418011245259,1.1647586075110952
0.1,0.0016392180164756984,0.017950553275045137,0.09131852324321053,44.39240618090616,55.708589294024726,0.796868252157799,1.0394411203148566
