spec,model,alpha,anchor,chosen_weight,val_pinball_at_choice,val_pinball_at_zero,val_curve,n_seeds,pinball_median,pinball_iqr,pinball_q25,pinball_q75,breach_rate,kupiec_p,christoffersen_ind_p,christoffersen_cc_p,passes_gate
Unanchored,SimpleQuantileNeuron,0.05,none,0.0,,,,10,0.002879583451901537,2.1739350804620382e-05,0.0028730726251995162,0.0028948119760041366,0.03525046382189239,0.019232786217400637,0.750062187082238,0.0613689198825364,False
Anchor param,SimpleQuantileNeuron,0.05,param,0.0,0.0039871709067170105,0.0039871709067170105,0:3.987171e-03;1:4.015908e-03;5:4.099414e-03;10:4.118910e-03,10,0.002879583451901537,2.1739350804620382e-05,0.0028730726251995162,0.0028948119760041366,0.03525046382189239,0.019232786217400637,0.750062187082238,0.0613689198825364,False
Anchor hist,SimpleQuantileNeuron,0.05,hist,0.0,0.0039871709067170105,0.0039871709067170105,0:3.987171e-03;1:4.012635e-03;5:4.040744e-03;10:4.049146e-03,10,0.002879583451901537,2.1739350804620382e-05,0.0028730726251995162,0.0028948119760041366,0.03525046382189239,0.019232786217400637,0.750062187082238,0.0613689198825364,False
