spec,model,alpha,anchor,chosen_weight,val_pinball_at_choice,val_pinball_at_zero,val_curve,n_seeds,pinball_median,pinball_iqr,pinball_q25,pinball_q75,breach_rate,kupiec_p,christoffersen_ind_p,christoffersen_cc_p,passes_gate
Anchor hist,SimpleQuantileNeuron,0.05,hist,1.0,0.0014727831995694817,0.0014893142294300453,0:1.489314e-03;1:1.472783e-03;5:1.512591e-03;10:1.549564e-03,10,0.0010808993646067625,1.0107613709025957e-06,0.0010806113151877652,0.0010816220765586678,0.03342245989304813,0.027242303239966844,0.2588312959299862,0.04618071448247058,False
Unanchored,SimpleQuantileNeuron,0.05,none,0.0,,,,10,0.001089295501543529,5.139838136081383e-05,0.001082884373278224,0.0011342827546390378,0.0374331550802139,0.09949036431592312,0.3872929726609652,0.1771853136729351,True
Anchor param,SimpleQuantileNeuron,0.05,param,10.0,0.0014591005504522197,0.0014893142294300453,0:1.489314e-03;1:1.471750e-03;5:1.460143e-03;10:1.459101e-03,10,0.0010959888719397704,2.194806232418134e-07,0.0010958700574506836,0.0010960895380739254,0.06016042780748663,0.2159871027827807,0.6316966326273259,0.41465798436540224,True
