ticker,capacity,n_params,weight,val_pinball_median,val_pinball_iqr,rel_iqr
^GSPC,Linear,4,0.0,0.00046428691490174655,3.317700380230332e-05,0.07145797724952967
^GSPC,Linear,4,0.5,0.00041781857009832513,1.0876180299054761e-05,0.02603086860523043
^GSPC,MLP 8x1,41,0.0,0.0004987210932179254,8.361874464500878e-05,0.16766634855059162
^GSPC,MLP 8x1,41,0.5,0.00041606642389485583,4.178553665266059e-06,0.010042996563265152
^GSPC,MLP 32x2,1217,0.0,0.00046169130631094836,3.138515661236515e-05,0.06797866059714648
^GSPC,MLP 32x2,1217,0.5,0.0004122121698732527,8.194296767706e-06,0.019878832714292714
^GSPC,MLP 64x3,8641,0.0,0.00044954247403117785,6.964320616975898e-05,0.1549201915121571
^GSPC,MLP 64x3,8641,0.5,0.0004109857649623555,1.7574917684423695e-05,0.042762837992779336
NVDA,Linear,4,0.0,0.0010812124972749992,6.216125996076063e-06,0.005749217671588782
NVDA,Linear,4,0.5,0.000965929929549059,4.013699085954575e-06,0.004155269407407592
NVDA,MLP 8x1,41,0.0,0.001115084976319976,6.682068266392885e-05,0.05992429642846745
NVDA,MLP 8x1,41,0.5,0.0009698750769186936,7.2325828589779075e-06,0.007457231380721652
NVDA,MLP 32x2,1217,0.0,0.0010860668052282076,7.273989546555961e-05,0.06697552592105536
NVDA,MLP 32x2,1217,0.5,0.0010217459077239985,1.4595755395843159e-05,0.014285112654237193
NVDA,MLP 64x3,8641,0.0,0.0011000915928256055,0.0002624715424147761,0.2385906265682961
NVDA,MLP 64x3,8641,0.5,0.0010350593057680568,3.985104609260915e-05,0.038501220046553784
