ticker,alpha,model,pinball,dm_vs_baseline,dm_p_better_than_baseline,in_mcs,mcs_pvalue,breach_rate,kupiec_p,christoffersen_ind_p,christoffersen_cc_p,passes_gate,n_test
^GSPC,0.01,Anchor param [SimpleQuantileNeuron],0.000359522760166989,-0.3073319594985283,0.37933818570444644,True,0.655,0.013368983957219251,0.3784805641538036,0.11772813952331136,0.19959608960862646,True,748
^GSPC,0.01,Unanchored [SimpleQuantileNeuron],0.0003657658597176409,,,True,0.655,0.0106951871657754,0.8501255199068876,0.06899541821891014,0.18801521528606974,True,748
^GSPC,0.01,Anchor hist [SimpleQuantileNeuron],0.0003702044988081818,0.14282060532119997,0.5567648114796252,True,0.655,0.0066844919786096255,0.3321884990093141,0.02174755621181377,0.04490938503564358,False,748
^GSPC,0.01,Anchor param [QuantileMLP],0.0003819299912648806,0.30557572517038695,0.6199935812362483,True,0.655,0.0053475935828877,0.1605730714856744,0.012365778333011687,0.016354733256869328,False,748
^GSPC,0.01,"GARCH(1,1)-t",0.0003965341911570158,0.5594240346664999,0.7119799757235618,True,0.655,0.017379679144385027,0.06631801151512555,0.2174180725907834,0.08658694863857096,True,748
^GSPC,0.01,Historical,0.00040094328216158377,0.5788475554919155,0.7185667351370817,True,0.655,0.014705882352941176,0.2267181171814881,0.007951803365103685,0.014224136083249772,False,748
^GSPC,0.01,Parametric-Normal,0.0004137050642292338,1.066417541076394,0.8567102618519797,True,0.655,0.02807486631016043,4.702251435026859e-05,0.6159815796220163,0.00022306688426995843,False,748
^GSPC,0.01,Unanchored [QuantileMLP],0.0004568712143188495,1.7535034451981295,0.9600371279323205,True,0.655,0.0053475935828877,0.1605730714856744,0.012365778333011687,0.016354733256869328,False,748
^GSPC,0.01,Anchor hist [QuantileMLP],0.0004568712143188495,1.7535034451981295,0.9600371279323205,True,0.655,0.0053475935828877,0.1605730714856744,0.012365778333011687,0.016354733256869328,False,748
NVDA,0.01,Anchor param [SimpleQuantileNeuron],0.0009540554051680492,-1.8313157359761136,0.0337257748002134,True,0.158,0.012032085561497326,0.5883208394615691,0.6394077011935975,0.7739515999612898,True,748
NVDA,0.01,"GARCH(1,1)-t",0.0009664947987211348,-1.6261155698330634,0.05217341481916761,True,0.158,0.0066844919786096255,0.3321884990093141,0.02174755621181377,0.04490938503564358,False,748
NVDA,0.01,Unanchored [SimpleQuantileNeuron],0.0009968705890998613,,,True,0.158,0.0053475935828877,0.1605730714856744,0.8355956879583373,0.3656989303776808,True,748
NVDA,0.01,Parametric-Normal,0.0010146494354132253,0.3749136948633297,0.6460844653584586,True,0.158,0.02540106951871658,0.0003932524495332647,0.3192855489300129,0.0011386322521986503,False,748
